["Cycle No.","Cycle time","Low pulse width","High pulse width"],
[225,6.47519981686884E-05,4.79668498699036E-06,5.9955313181698E-05],
[226,6.47546592213825E-05,4.79668498699036E-06,5.99579742343922E-05],
[227,6.47525709729334E-05,4.79402393429619E-06,5.99585470386372E-05],
[228,6.47540920322778E-05,4.79744572256385E-06,5.9956646309714E-05],
[229,6.47521900202352E-05,4.79535185897439E-06,5.99568381612608E-05],
[230,6.47547388742883E-05,4.7963590669043E-06,5.9958379807384E-05],
[231,6.47519981686884E-05,4.79361836130433E-06,5.9958379807384E-05],
[232,6.47519981686884E-05,4.79361836130433E-06,5.9958379807384E-05],
[233,6.47552004779065E-05,4.79682067052248E-06,5.9958379807384E-05],
[234,6.47538673097022E-05,4.79388345372977E-06,5.99599838559724E-05],
[235,6.47533313413735E-05,4.79201431271593E-06,5.99613170286575E-05],
[236,6.47533332676434E-05,4.7940200853646E-06,5.99593131822788E-05],
[237,6.47546592213825E-05,4.7926849864096E-06,5.99619742349729E-05],
[238,6.47493371159942E-05,4.79282104700988E-06,5.99565160689843E-05],
[239,6.47546592213825E-05,4.79668498699036E-06,5.99579742343922E-05],
[240,6.47546648365228E-05,4.79402393429619E-06,5.99606409022267E-05],
[241,6.47519981686884E-05,4.79535185897439E-06,5.9956646309714E-05],
[242,6.47546656334097E-05,4.79535185897439E-06,5.99593137744353E-05],
[243,6.47522632611138E-05,4.79388345372977E-06,5.9958379807384E-05],
[244,6.47519981686884E-05,4.79361836130433E-06,5.9958379807384E-05],
[245,6.47519981686884E-05,4.79682067052248E-06,5.99551774981659E-05],
[246,6.47523959264526E-05,4.79682067052248E-06,5.99555752559301E-05],
[247,6.47566718611561E-05,4.79668800518369E-06,5.99599838559724E-05],
[248,6.47519981686884E-05,4.79535325804969E-06,5.99566449106387E-05],
[249,6.47546664403285E-05,4.79535325804969E-06,5.99593131822788E-05],
[250,6.47546592213825E-05,4.7926849864096E-06,5.99619742349729E-05],
[251,6.47525709729334E-05,4.79069541338764E-06,5.99618755595457E-05],
[252,6.47519981686884E-05,4.79345113005292E-06,5.99585470386355E-05],
[253,6.47514253644434E-05,4.79544246834163E-06,5.99559828961017E-05],
[254,6.47546648365228E-05,4.79801852680886E-06,5.9956646309714E-05],
[255,6.47549307258334E-05,4.7965509184511E-06,5.99583798073823E-05],
[256,6.47519981686884E-05,4.79361836130607E-06,5.99583798073823E-05],
[257,6.47552004779083E-05,4.79361836130607E-06,5.99615821166022E-05],
[258,6.47511990374376E-05,4.79361836130607E-06,5.99575806761315E-05],
[259,6.47546664409547E-05,4.79441749255682E-06,5.99602489483979E-05],
[260,6.47501290276728E-05,4.7920143127142E-06,5.99581147149586E-05],
[261,6.47538673097039E-05,4.7972223990618E-06,5.99566449106421E-05],
[262,6.47546664403267E-05,4.79535325804623E-06,5.99593131822805E-05],
[263,6.47538572953084E-05,4.79548209970579E-06,5.99583751956026E-05],
[264,6.47528000947625E-05,4.79482586037208E-06,5.99579742343904E-05],
[265,6.47546648365228E-05,4.79402393429793E-06,5.99606409022249E-05],
